Date,"Opponent1","Pts","Opponent1_Location","Opponent2","Pts",Notes
"10/21/06","Oregon St.","17","Home","Arizona","10",
"10/14/06","Oregon St.","27","Home","Washington","17",
"11/24/06","Oregon St.","30","Away","Oregon","28",
"11/18/06","Oregon St.","30","Home","Stanford","7",
"10/28/06","Oregon St.","33","Away","Southern California","31",
"12/02/06","Oregon St.","35","Home","Hawaii","32",
"09/23/06","Oregon St.","38","Away","Idaho","0",
"12/29/06","Oregon St.","39","Away","Missouri","38",Sun Bowl (El Paso TX)
"11/04/06","Oregon St.","44","Away","Arizona St.","10",
"08/31/06","Oregon St.","56","Away","Eastern Washington","17",
"10/14/06","Oregon","30","Away","UCLA","20",
"09/09/06","Oregon","31","Home","Fresno St.","24",
"09/16/06","Oregon","34","Away","Oklahoma","33",
"11/04/06","Oregon","34","Away","Washington","14",
"09/02/06","Oregon","48","Away","Stanford","10",
"09/30/06","Oregon","48","Home","Arizona St.","13",
"10/28/06","Oregon","55","Away","Portland St.","12",
"10/28/06","Penn St.","12","Home","Purdue","0",
"11/18/06","Penn St.","17","Away","Michigan St.","13",
"01/01/07","Penn St.","20","Away","Tennessee","10",Outback Bowl (Tampa FL)
"10/21/06","Penn St.","26","Away","Illinois","12",
"10/07/06","Penn St.","28","Home","Minnesota","27",
"09/30/06","Penn St.","33","Away","Northwestern","7",
"09/02/06","Penn St.","34","Away","Akron","16",
"09/16/06","Penn St.","37","Away","Youngstown St.","3",
"11/11/06","Penn St.","47","Away","Temple","0",
"10/07/06","Pittsburgh","21","Home","Syracuse","11",
"09/08/06","Pittsburgh","33","Home","Cincinnati","15",
"09/02/06","Pittsburgh","38","Away","Virginia","13",
"09/30/06","Pittsburgh","45","Away","Toledo","3",
"09/23/06","Pittsburgh","51","Away","Citadel","6",
"10/13/06","Pittsburgh","52","Home","UCF","7",
"09/02/06","Portland St.","17","Home","New Mexico","6",
"11/04/06","Purdue","17","Home","Michigan St.","15",
"09/23/06","Purdue","27","Away","Minnesota","21",
"11/18/06","Purdue","28","Away","Indiana","19",
"10/14/06","Purdue","31","Home","Northwestern","10",
"09/16/06","Purdue","38","Away","Ball St.","28",
"09/09/06","Purdue","38","Away","Miami (OH)","31",
"11/11/06","Purdue","42","Home","Illinois","31",
"09/02/06","Purdue","60","Away","Indiana St.","35",
"11/18/06","Rice","18","Away","East Carolina","17",
"11/25/06","Rice","31","Away","SMU","27",
"10/14/06","Rice","34","Away","UAB","33",
"11/04/06","Rice","37","Home","UTEP","31",
"10/21/06","Rice","40","Home","UCF","29",
"11/11/06","Rice","41","Home","Tulsa","38",
"09/30/06","Rice","48","Home","Army","14",
"09/02/06","Richmond","13","Home","Duke","0",
"10/21/06","Rutgers","20","Home","Pittsburgh","10",
"09/02/06","Rutgers","21","Home","North Carolina","16",
"09/29/06","Rutgers","22","Home","South Fla.","20",
"10/29/06","Rutgers","24","Away","Connecticut","13",
"09/16/06","Rutgers","24","Away","Ohio","7",
"11/09/06","Rutgers","28","Away","Louisville","25",
"09/09/06","Rutgers","33","Away","Illinois","0",
"10/14/06","Rutgers","34","Home","Navy","0",
"12/28/06","Rutgers","37","Away","Kansas St.","10",Texas Bowl (Houston TX)
"11/25/06","Rutgers","38","Away","Syracuse","7",
"09/23/06","Rutgers","56","Away","Howard","7",
"12/02/06","San Diego St.","17","Away","Colorado St.","6",
"10/21/06","San Diego St.","19","Away","Air Force","12",
"11/11/06","San Diego St.","21","Away","UNLV","7",
"09/23/06","San Jose St.","17","Away","Cal Poly","7",
"12/23/06","San Jose St.","20","Home","New Mexico","12",New Mexico Bowl (Albuquerque NM)
"10/14/06","San Jose St.","21","Away","Utah St.","14",
"12/02/06","San Jose St.","24","Away","Fresno St.","14",
"11/25/06","San Jose St.","28","Home","Idaho","13",
"09/30/06","San Jose St.","31","Away","San Diego St.","10",
"11/04/06","San Jose St.","31","Home","New Mexico St.","21",
"09/09/06","San Jose St.","35","Away","Stanford","34",
"10/28/06","San Jose St.","44","Away","Louisiana Tech","10",
"08/31/06","South Carolina","15","Home","Mississippi St.","0",
"10/07/06","South Carolina","24","Home","Kentucky","17",
"09/16/06","South Carolina","27","Away","Wofford","20",
"11/25/06","South Carolina","31","Home","Clemson","28",
"10/21/06","South Carolina","31","Home","Vanderbilt","13",
"12/29/06","South Carolina","44","Away","Houston","36",Liberty Bowl (Memphis TN)
"09/23/06","South Carolina","45","Away","Florida Atlantic","6",
"11/18/06","South Carolina","52","Away","Middle Tenn.","7",
"09/09/06","South Fla.","21","Away","FIU","20",
"11/04/06","South Fla.","22","Away","Pittsburgh","12",
"12/23/06","South Fla.","24","Away","East Carolina","7",PapaJohns.com Bowl (Birmingham AL)
"09/16/06","South Fla.","24","Home","UCF","17",
"11/25/06","South Fla.","24","Home","West Virginia","19",
"11/11/06","South Fla.","27","Away","Syracuse","10",
"10/14/06","South Fla.","37","Home","North Carolina","20",
"10/07/06","South Fla.","38","Away","Connecticut","16",
"09/02/06","South Fla.","41","Away","McNeese St.","10",
"09/23/06","Southern California","20","Home","Arizona","3",
"11/18/06","Southern California","23","Away","California","9",
"10/07/06","Southern California","26","Away","Washington","20",
"10/14/06","Southern California","28","Away","Arizona St.","21",
"09/16/06","Southern California","28","Away","Nebraska","10",
"09/30/06","Southern California","28","Home","Washington St.","22",
"01/01/07","Southern California","32","Away","Michigan","18",Rose Bowl (Pasadena CA)
"11/11/06","Southern California","35","Away","Oregon","10",
"11/04/06","Southern California","42","Home","Stanford","0",
"11/25/06","Southern California","44","Away","Notre Dame","24",
"09/02/06","Southern California","50","Home","Arkansas","14",
"09/16/06","Southern Illinois","35","Home","Indiana","28",
"10/31/06","SMU","22","Away","UAB","9",
"10/14/06","SMU","31","Away","Marshall","21",
"09/30/06","SMU","33","Home","Tulane","28",
"11/18/06","SMU","34","Away","Tulsa","24",
"09/16/06","SMU","45","Away","Sam Houston St.","14",
"09/23/06","SMU","55","Away","Arkansas St.","9",
"09/26/06","Southern Miss.","19","Home","UCF","14",
"11/18/06","Southern Miss.","25","Away","UAB","20",
"01/07/07","Southern Miss.","28","Away","Ohio","7",GMAC Bowl (Mobile AL)
"10/14/06","Southern Miss.","31","Away","Houston","27",
"11/11/06","Southern Miss.","31","Home","Tulane","3",
"09/16/06","Southern Miss.","37","Away","North Carolina St.","17",
"11/25/06","Southern Miss.","42","Away","Marshall","7",
"11/05/06","Southern Miss.","42","Home","Memphis","21",
"09/09/06","Southern Miss.","45","Away","Southeastern Louisiana","0",
"11/11/06","Stanford","20","Home","Washington","3",
"11/18/06","Syracuse","20","Away","Connecticut","14",
"09/16/06","Syracuse","31","Home","Illinois","21",
"09/23/06","Syracuse","34","Away","Miami (OH)","14",
"09/30/06","Syracuse","40","Away","Wyoming","34",
"10/28/06","Temple","28","Away","Bowling Green St.","14",
"10/21/06","Tennessee","16","Away","Alabama","13",
"11/25/06","Tennessee","17","Away","Kentucky","12",
"09/09/06","Tennessee","31","Away","Air Force","30",
"10/28/06","Tennessee","31","Home","South Carolina","24",
"09/23/06","Tennessee","33","Away","Marshall","7",
"09/02/06","Tennessee","35","Away","California","18",
"11/18/06","Tennessee","39","Home","Vanderbilt","10",
"09/30/06","Tennessee","41","Home","Memphis","7",
"10/07/06","Tennessee","51","Home","Georgia","33",
"11/24/06","Texas A&M","12","Home","Texas","7",
"10/07/06","Texas A&M","21","Home","Kansas","18",
"10/14/06","Texas A&M","25","Away","Missouri","19",
"09/16/06","Texas A&M","28","Away","Army","24",San Antonio TX
"10/28/06","Texas A&M","31","Home","Baylor","21",
"10/21/06","Texas A&M","34","Home","Oklahoma St.","33",
"09/02/06","Texas A&M","35","Away","Citadel","3",
"09/23/06","Texas A&M","45","Away","Louisiana Tech","14",
"09/09/06","Texas A&M","51","Away","La.-Lafayette","7",
"09/16/06","TCU","12","Away","Texas Tech","3",
"09/03/06","TCU","17","Home","Baylor","7",
"11/04/06","TCU","25","Home","UNLV","10",
"10/28/06","TCU","26","Away","Wyoming","3",
"11/11/06","TCU","27","Home","New Mexico","21",
"10/21/06","TCU","31","Home","Army","17",
"12/19/06","TCU","37","Away","Northern Ill.","7",Poinsettia Bowl (San Diego CA)
"12/02/06","TCU","38","Away","Air Force","14",
"11/25/06","TCU","45","Home","Colorado St.","14",
"09/09/06","TCU","46","Away","California-Davis","13",
"11/18/06","TCU","52","Away","San Diego St.","0",
"11/18/06","Texas Tech","30","Away","Oklahoma St.","24",
"09/30/06","Texas Tech","31","Home","Texas A&M","27",
"09/02/06","Texas Tech","35","Away","SMU","3",
"09/09/06","Texas Tech","38","Home","UTEP","35",
"10/21/06","Texas Tech","42","Home","Iowa St.","26",
"12/29/06","Texas Tech","44","Away","Minnesota","41",Insight Bowl (Tempe AZ)
"11/04/06","Texas Tech","55","Away","Baylor","21",
"09/23/06","Texas Tech","62","Away","Southeastern Louisiana","0",
"10/21/06","Texas","22","Home","Nebraska","20",
"12/30/06","Texas","26","Away","Iowa","24",Alamo Bowl (San Antonio TX)
"10/07/06","Texas","28","Away","Oklahoma","10",Dallas TX
"10/28/06","Texas","35","Home","Texas Tech","31",
"11/04/06","Texas","36","Away","Oklahoma St.","10",
"09/23/06","Texas","37","Away","Iowa St.","14",
"09/16/06","Texas","52","Home","Rice","7",Houston TX
"09/02/06","Texas","56","Away","North Texas","7",
"09/30/06","Texas","56","Away","Sam Houston St.","3",
"10/14/06","Texas","63","Away","Baylor","31",
"10/07/06","UTEP","24","Away","SMU","21",
"10/14/06","UTEP","34","Away","Tulane","20",
"08/31/06","UTEP","34","Home","San Diego St.","27",
"11/10/06","UTEP","36","Home","UAB","17",
"09/30/06","UTEP","44","Away","New Mexico St.","38",
"11/07/06","Toledo","17","Home","Northern Ill.","13",
"11/21/06","Toledo","31","Away","Bowling Green St.","21",
"10/28/06","Toledo","35","Away","Akron","20",
"09/15/06","Toledo","37","Away","Kansas","31",
"09/23/06","Toledo","41","Away","McNeese St.","7",
"10/28/06","Troy","14","Away","North Texas","6",
"11/25/06","Troy","21","Home","Middle Tenn.","20",
"10/14/06","Troy","24","Away","La.-Monroe","19",
"11/11/06","Troy","24","Home","Florida Atlantic","17",
"12/02/06","Troy","26","Home","FIU","13",
"09/02/06","Troy","38","Away","Alabama St.","0",
"12/22/06","Troy","41","Away","Rice","17",New Orleans Bowl (New Orleans LA)
"11/04/06","Troy","42","Away","La.-Lafayette","28",
"11/18/06","Tulane","10","Away","UCF","9",
"09/16/06","Tulane","32","Home","Mississippi St.","29",
"10/07/06","Tulane","38","Away","Rice","24",
"10/28/06","Tulane","42","Away","Army","28",
"10/03/06","Tulsa","20","Away","Southern Miss.","6",
"09/23/06","Tulsa","24","Home","Navy","23",
"09/16/06","Tulsa","28","Away","North Texas","3",
"10/27/06","Tulsa","30","Away","UTEP","20",
"10/14/06","Tulsa","31","Home","East Carolina","10",
"10/21/06","Tulsa","35","Home","Memphis","14",
"11/24/06","Tulsa","38","Away","Tulane","3",
"08/31/06","Tulsa","45","Away","Stephen F. Austin","7",
"12/02/06","UCLA","13","Away","Southern California","9",
"11/18/06","UCLA","24","Home","Arizona St.","12",
"11/11/06","UCLA","25","Away","Oregon St.","7",
"09/09/06","UCLA","26","Away","Rice","16",
"10/07/06","UCLA","27","Away","Arizona","7",
"09/30/06","UCLA","31","Away","Stanford","0",
"09/02/06","UCLA","31","Away","Utah","10",
"10/07/06","Utah St.","13","Away","Fresno St.","12",
"11/18/06","Utah","17","Home","Air Force","14",
"10/05/06","Utah","20","Away","TCU","7",
"12/23/06","Utah","25","Away","Tulsa","13",Armed Forces Bowl (Fort Worth TX)
"11/11/06","Utah","35","Away","Colorado St.","22",
"09/23/06","Utah","38","Home","San Diego St.","7",
"10/28/06","Utah","45","Away","UNLV","23",
"09/09/06","Utah","45","Away","Northern Arizona","7",
"09/16/06","Utah","48","Home","Utah St.","0",
"10/14/06","Vanderbilt","24","Home","Georgia","22",
"09/23/06","Vanderbilt","38","Away","Tennessee St.","9",
"09/30/06","Vanderbilt","43","Away","Temple","14",
"10/28/06","Vanderbilt","45","Home","Duke","28",
"11/25/06","Virginia Tech","17","Away","Virginia","0",
"11/04/06","Virginia Tech","17","Home","Miami (FL)","10",
"11/11/06","Virginia Tech","23","Away","Kent St.","0",
"10/26/06","Virginia Tech","24","Away","Clemson","7",
"11/18/06","Virginia Tech","27","Home","Wake Forest","6",
"09/23/06","Virginia Tech","29","Away","Cincinnati","13",
"09/09/06","Virginia Tech","35","Home","North Carolina","10",
"09/16/06","Virginia Tech","36","Away","Duke","0",
"10/21/06","Virginia Tech","36","Away","Southern Miss.","6",
"09/02/06","Virginia Tech","38","Away","Northeastern","0",
"09/09/06","Virginia","13","Away","Wyoming","12",
"10/28/06","Virginia","14","Away","North Carolina St.","7",
"11/18/06","Virginia","17","Away","Miami (FL)","7",
"10/19/06","Virginia","23","Away","North Carolina","0",
"09/30/06","Virginia","37","Home","Duke","0",
"09/09/06","Wake Forest","14","Away","Duke","13",
"09/02/06","Wake Forest","20","Away","Syracuse","10",
"11/04/06","Wake Forest","21","Away","Boston College","14",
"09/16/06","Wake Forest","24","Home","Connecticut","13",
"10/28/06","Wake Forest","24","Home","North Carolina","17",
"10/14/06","Wake Forest","25","Home","North Carolina St.","23",
"09/23/06","Wake Forest","27","Home","Ole Miss","3",
"11/11/06","Wake Forest","30","Home","Florida St.","0",
"09/30/06","Wake Forest","34","Away","Liberty","14",
"11/25/06","Wake Forest","38","Home","Maryland","24",
"12/02/06","Wake Forest","9","Away","Georgia Tech","6",ACC Championship (Jacksonville FL)
"10/07/06","Washington St.","13","Home","Oregon St.","6",
"09/16/06","Washington St.","17","Away","Baylor","15",Seattle WA
"10/21/06","Washington St.","34","Away","Oregon","23",
"09/23/06","Washington St.","36","Home","Stanford","10",
"10/28/06","Washington St.","37","Home","UCLA","15",
"09/09/06","Washington St.","56","Away","Idaho","10",
"09/16/06","Washington","21","Away","Fresno St.","20",
"09/30/06","Washington","21","Home","Arizona","10",
"09/23/06","Washington","29","Away","UCLA","19",
"09/02/06","Washington","35","Away","San Jose St.","29",
"11/18/06","Washington","35","Home","Washington St.","32",
"09/23/06","West Virginia","27","Home","East Carolina","10",
"10/20/06","West Virginia","37","Home","Connecticut","11",
"01/01/07","West Virginia","38","Away","Georgia Tech","35",Gator Bowl (Jacksonville FL)
"12/02/06","West Virginia","41","Away","Rutgers","39",
"10/14/06","West Virginia","41","Away","Syracuse","17",
"11/11/06","West Virginia","42","Away","Cincinnati","24",
"09/02/06","West Virginia","42","Away","Marshall","10",
"10/07/06","West Virginia","42","Home","Mississippi St.","14",
"09/14/06","West Virginia","45","Away","Maryland","24",
"11/16/06","West Virginia","45","Home","Pittsburgh","27",
"09/09/06","West Virginia","52","Away","Eastern Washington","3",
"10/14/06","Western Mich.","16","Away","Northern Ill.","14",
"11/24/06","Western Mich.","17","Home","Akron","0",
"09/16/06","Western Mich.","17","Home","Virginia","10",
"10/28/06","Western Mich.","18","Away","Eastern Mich.","15",
"11/04/06","Western Mich.","27","Away","Miami (OH)","24",
"09/09/06","Western Mich.","31","Away","Toledo","10",
"09/23/06","Western Mich.","41","Away","Temple","7",
"10/21/06","Western Mich.","41","Home","Ball St.","27",
"11/04/06","Wisconsin","13","Away","Penn St.","3",
"09/16/06","Wisconsin","14","Away","San Diego St.","0",
"01/01/07","Wisconsin","17","Away","Arkansas","14",Capital One Bowl (Orlando FL)
"11/11/06","Wisconsin","24","Home","Iowa","21",
"10/21/06","Wisconsin","24","Home","Purdue","3",
"10/28/06","Wisconsin","30","Away","Illinois","24",
"09/09/06","Wisconsin","34","Away","Western Illinois","10",
"11/18/06","Wisconsin","35","Away","Buffalo","3",
"09/02/06","Wisconsin","35","Home","Bowling Green St.","14",Cleveland OH
"10/07/06","Wisconsin","41","Away","Northwestern","9",
"10/14/06","Wisconsin","48","Away","Minnesota","12",
"09/30/06","Wisconsin","52","Home","Indiana","17",
"10/07/06","Wyoming","14","Home","New Mexico","10",
"10/21/06","Wyoming","24","Away","Colorado St.","0",
"11/04/06","Wyoming","27","Away","San Diego St.","24",
"10/14/06","Wyoming","31","Away","Utah","15",
"11/18/06","Wyoming","34","Home","UNLV","26",
"09/02/06","Wyoming","38","Away","Utah St.","7",
