Date,"Opponent1","Pts","Opponent1_Location","Opponent2","Pts",Notes
"10/29/05","Idaho","38","Home","New Mexico St.","37",
"09/03/05","Illinois","33","Away","Rutgers","30",
"09/10/05","Illinois","40","Away","San Jose St.","19",
"09/02/05","Indiana","20","Home","Central Michigan","13",
"09/10/05","Indiana","35","Away","Nicholls St.","31",
"10/8/05","Indiana","36","Away","Illinois","13",
"09/17/05","Indiana","38","Away","Kentucky","14",
"09/10/05","Iowa St.","23","Away","Iowa","3",
"09/23/05","Iowa St.","28","Home","Army","21",
"11/12/05","Iowa St.","30","Away","Colorado","16",
"09/03/05","Iowa St.","32","Away","Illinois St.","21",
"10/22/05","Iowa St.","37","Away","Oklahoma St.","10",
"10/29/05","Iowa St.","42","Home","Texas A&M","14",
"11/05/05","Iowa St.","45","Away","Kansas St.","17",
"11/12/05","Iowa","20","Home","Wisconsin","10",
"10/8/05","Iowa","34","Home","Purdue","17",
"10/1/05","Iowa","35","Away","Illinois","7",
"10/15/05","Iowa","38","Away","Indiana","21",
"09/17/05","Iowa","45","Away","Northern Iowa","21",
"11/19/05","Iowa","52","Away","Minnesota","28",
"09/03/05","Iowa","56","Away","Ball St.","0",
"10/8/05","Kansas St.","12","Away","Kansas","3",
"09/10/05","Kansas St.","21","Home","Marshall","19",
"09/03/05","Kansas St.","35","Away","FIU","21",
"11/19/05","Kansas St.","36","Away","Missouri","28",
"09/24/05","Kansas St.","54","Away","North Texas","7",
"10/29/05","Kansas","13","Away","Missouri","3",
"11/26/05","Kansas","24","Away","Iowa St.","21",
"09/03/05","Kansas","30","Away","Florida Atlantic","19",
"09/17/05","Kansas","34","Away","Louisiana Tech","14",
"09/10/05","Kansas","36","Away","Appalachian St.","8",
"11/05/05","Kansas","40","Away","Nebraska","15",
"12/23/05","Kansas","42","Away","Houston","13",Fort Worth Bowl (Fort Worth TX)
"09/10/05","Kent St.","33","Away","Southeast Missouri St.","12",
"10/29/05","Kentucky","13","Away","Mississippi St.","7",
"09/10/05","Kentucky","41","Away","Idaho St.","29",
"11/12/05","Kentucky","48","Home","Vanderbilt","43",
"11/12/05","LSU","16","Home","Alabama","13",
"11/25/05","LSU","19","Away","Arkansas","17",
"10/22/05","LSU","20","Away","Auburn","17",
"10/15/05","LSU","21","Away","Florida","17",
"11/05/05","LSU","24","Away","Appalachian St.","0",
"10/8/05","LSU","34","Home","Vanderbilt","6",
"09/10/05","LSU","35","Home","Arizona St.","31",
"10/1/05","LSU","37","Home","Mississippi St.","7",
"12/30/05","LSU","40","Away","Miami (FL)","3",Peach Bowl (Atlanta GA)
"11/19/05","LSU","40","Home","Ole Miss","7",
"10/29/05","LSU","56","Away","North Texas","3",
"11/05/05","Louisiana Tech","27","Home","Utah St.","17",
"10/29/05","Louisiana Tech","31","Away","San Jose St.","14",
"10/1/05","Louisiana Tech","34","Away","New Mexico St.","14",
"10/22/05","Louisiana Tech","40","Away","North Texas","14",
"12/02/05","Louisiana Tech","40","Home","Fresno St.","28",
"11/12/05","Louisiana Tech","41","Home","Idaho","38",
"10/8/05","Louisiana Tech","46","Away","Hawaii","14",
"10/22/05","La.-Lafayette","13","Home","Middle Tenn.","10",
"11/12/05","La.-Lafayette","28","Away","FIU","7",
"10/29/05","La.-Lafayette","31","Away","Troy","28",
"11/05/05","La.-Lafayette","31","Home","North Texas","28",
"09/17/05","La.-Lafayette","49","Away","Northwestern St.","28",
"11/26/05","La.-Lafayette","54","Home","La.-Monroe","21",
"11/19/05","La.-Monroe","24","Home","North Texas","19",
"10/15/05","La.-Monroe","27","Away","Troy","3",
"09/22/05","La.-Monroe","28","Home","Florida Atlantic","21",
"10/1/05","La.-Monroe","31","Away","Arkansas St.","27",
"11/12/05","La.-Monroe","34","Home","Middle Tenn.","31",
"12/03/05","Louisville","30","Home","Connecticut","20",
"09/04/05","Louisville","31","Home","Kentucky","24",
"11/26/05","Louisville","41","Away","Syracuse","17",
"11/03/05","Louisville","42","Away","Pittsburgh","20",
"10/22/05","Louisville","46","Home","Cincinnati","22",
"11/11/05","Louisville","56","Away","Rutgers","5",
"10/1/05","Louisville","61","Away","Florida Atlantic","10",
"09/17/05","Louisville","63","Away","Oregon St.","27",
"10/8/05","Louisville","69","Away","North Carolina","14",
"10/1/05","Marshall","16","Away","SMU","13",
"10/15/05","Marshall","20","Away","UAB","19",
"10/29/05","Marshall","27","Home","Tulane","26",Mobile AL
"09/01/05","Marshall","36","Away","William & Mary","24",
"09/24/05","Maryland","22","Home","Wake Forest","12",
"09/03/05","Maryland","23","Away","Navy","20",Baltimore MD
"11/12/05","Maryland","33","Home","North Carolina","30",
"10/8/05","Maryland","38","Home","Temple","7",
"10/1/05","Maryland","45","Away","Virginia","33",
"11/19/05","Memphis","24","Home","Southern Miss.","22",
"11/26/05","Memphis","26","Away","Marshall","3",
"10/22/05","Memphis","27","Away","East Carolina","24",
"10/1/05","Memphis","27","Away","UTEP","20",
"10/15/05","Memphis","35","Home","Houston","20",
"12/26/05","Memphis","38","Away","Akron","31",Motor City Bowl (Detroit MI)
"09/17/05","Memphis","59","Away","Chattanooga","14",
"09/24/05","Miami (FL)","23","Away","Colorado","3",
"11/26/05","Miami (FL)","25","Away","Virginia","17",
"10/1/05","Miami (FL)","27","Away","South Fla.","7",
"10/29/05","Miami (FL)","34","Away","North Carolina","16",
"10/15/05","Miami (FL)","34","Home","Temple","3",
"11/12/05","Miami (FL)","47","Home","Wake Forest","17",
"10/8/05","Miami (FL)","52","Away","Duke","7",
"10/22/05","Miami (OH)","24","Home","Eastern Michigan","23",
"09/17/05","Miami (OH)","27","Home","Kent St.","10",
"11/21/05","Miami (OH)","38","Home","Ohio","7",
"10/29/05","Miami (OH)","41","Home","Temple","14",
"09/28/05","Miami (OH)","44","Away","Cincinnati","16",
"10/15/05","Miami (OH)","51","Away","Akron","23",
"11/05/05","Miami (OH)","54","Away","Buffalo","13",
"09/17/05","Miami Clemson","30",
"11/05/05","Miami Virginia Tech","7",
"09/10/05","Michigan St.","42","Away","Hawaii","14",
"09/17/05","Michigan St.","44","Home","Notre Dame","41",
"10/29/05","Michigan St.","46","Away","Indiana","15",
"09/03/05","Michigan St.","49","Away","Kent St.","14",
"09/24/05","Michigan St.","61","Home","Illinois","14",
"10/22/05","Michigan","23","Home","Iowa","20",
"10/15/05","Michigan","27","Away","Penn St.","25",
"09/03/05","Michigan","33","Away","Northern Ill.","17",
"10/29/05","Michigan","33","Home","Northwestern","17",
"10/1/05","Michigan","34","Home","Michigan St.","31",
"11/12/05","Michigan","41","Away","Indiana","14",
"09/17/05","Michigan","55","Away","Eastern Michigan","0",
"11/26/05","Middle Tenn.","17","Home","Troy","7",
"10/1/05","Middle Tenn.","17","Home","Vanderbilt","15",
"10/15/05","Middle Tenn.","35","Home","Florida Atlantic","14",
"11/05/05","Middle Tenn.","45","Away","Arkansas St.","7",
"10/8/05","Minnesota","23","Home","Michigan","20",
"11/12/05","Minnesota","41","Away","Michigan St.","18",
"09/01/05","Minnesota","41","Home","Tulsa","10",
"09/24/05","Minnesota","42","Away","Purdue","35",
"11/05/05","Minnesota","42","Home","Indiana","21",
"09/17/05","Minnesota","46","Away","Florida Atlantic","7",
"09/10/05","Minnesota","56","Away","Colorado St.","24",
"09/17/05","Mississippi St.","21","Away","Tulane","14",Shreveport LA
"11/26/05","Mississippi St.","35","Away","Ole Miss","14",
"09/03/05","Mississippi St.","38","Away","Murray St.","6",
"09/05/05","Ole Miss","10","Home","Memphis","6",
"10/22/05","Ole Miss","13","Away","Kentucky","7",
"10/8/05","Ole Miss","27","Away","Citadel","7",
"10/15/05","Missouri","27","Away","Iowa St.","24",
"11/12/05","Missouri","31","Away","Baylor","16",
"12/30/05","Missouri","38","Away","South Carolina","31",Independence Bowl (Shreveport LA)
"10/8/05","Missouri","38","Home","Oklahoma St.","31",
"10/22/05","Missouri","41","Away","Nebraska","24",
"09/03/05","Missouri","44","Away","Arkansas St.","17",Kansas City MO
"09/17/05","Missouri","52","Away","Troy","21",
"10/8/05","Navy","27","Away","Air Force","24",
"10/1/05","Navy","28","Home","Duke","21",
"10/15/05","Navy","34","Away","Kent St.","31",
"11/19/05","Navy","38","Away","Temple","17",
"10/22/05","Navy","41","Home","Rice","9",
"12/03/05","Navy","42","Away","Army","23",Philadelphia PA
"11/05/05","Navy","49","Away","Tulane","21",
"12/22/05","Navy","51","Away","Colorado St.","30",Poinsettia Bowl (San Diego CA)
"10/15/05","Nebraska","23","Home","Baylor","14",
"09/03/05","Nebraska","25","Away","Maine","7",
"10/1/05","Nebraska","27","Away","Iowa St.","20",
"11/12/05","Nebraska","27","Away","Kansas St.","25",
"11/25/05","Nebraska","30","Home","Colorado","3",
"09/10/05","Nebraska","31","Away","Wake Forest","3",
"12/28/05","Nebraska","32","Away","Michigan","28",Alamo Bowl (San Antonio TX)
"09/17/05","Nebraska","7","Away","Pittsburgh","6",
"09/17/05","Nevada","22","Away","UNLV","14",
"10/1/05","Nevada","30","Home","San Jose St.","23",
"11/19/05","Nevada","30","Home","Utah St.","24",
"10/15/05","Nevada","37","Away","Louisiana Tech","27",
"11/26/05","Nevada","38","Away","Fresno St.","35",
"11/05/05","Nevada","38","Away","Hawaii","28",
"11/12/05","Nevada","48","Home","New Mexico St.","24",
"12/24/05","Nevada","49","Away","UCF","48",Hawaii Bowl (Honolulu HI)
"10/8/05","Nevada","62","Away","Idaho","14",
"10/8/05","UNLV","13","Away","San Diego St.","10",
"09/10/05","UNLV","34","Away","Idaho","31",
"09/05/05","New Mexico","24","Away","UNLV","22",
"10/15/05","New Mexico","27","Home","Wyoming","24",
"11/12/05","New Mexico","31","Home","Utah","27",
"09/17/05","New Mexico","38","Away","New Mexico St.","21",
"09/10/05","New Mexico","45","Home","Missouri","35",
"10/22/05","New Mexico","47","Home","San Diego St.","24",
"12/31/05","North Carolina St.","14","Away","South Fla.","0",Meineke Car Care Bowl (Charlotte NC)
"10/6/05","North Carolina St.","17","Home","Georgia Tech","14",
"11/26/05","North Carolina St.","20","Away","Maryland","14",
"11/05/05","North Carolina St.","20","Home","Florida St.","15",
"10/29/05","North Carolina St.","21","Away","Southern Miss.","17",
"11/19/05","North Carolina St.","24","Away","Middle Tenn.","3",
"09/17/05","North Carolina St.","54","Away","Eastern Kentucky","10",
"11/05/05","North Carolina","16","Away","Boston College","14",
"11/19/05","North Carolina","24","Away","Duke","21",
"10/1/05","North Carolina","31","Away","Utah","17",
"09/24/05","North Carolina","31","Home","North Carolina St.","24",
"10/22/05","North Carolina","7","Away","Virginia","5",
"10/15/05","North Texas","13","Home","FIU","10",
"09/10/05","North Texas","14","Home","Middle Tenn.","7",
"10/15/05","Northern Ill.","24","Away","Eastern Michigan","8",
"11/05/05","Northern Ill.","31","Home","Central Michigan","28",
"10/22/05","Northern Ill.","34","Home","Kent St.","3",
"11/16/05","Northern Ill.","35","Home","Toledo","17",
"10/5/05","Northern Ill.","38","Away","Miami (OH)","27",
"09/17/05","Northern Ill.","42","Away","Tennessee Tech","3",
"11/23/05","Northern Ill.","42","Away","Western Mich.","7",
"09/01/05","Northwestern St.","27","Home","La.-Monroe","23",
"11/05/05","Northwestern","28","Away","Iowa","27",
"10/15/05","Northwestern","34","Home","Purdue","29",
"09/10/05","Northwestern","38","Away","Northern Ill.","37",
"09/03/05","Northwestern","38","Away","Ohio","14",
"11/19/05","Northwestern","38","Home","Illinois","21",
"10/22/05","Northwestern","49","Home","Michigan St.","14",
"10/8/05","Northwestern","51","Away","Wisconsin","48",
"09/10/05","Notre Dame","17","Home","Michigan","10",
"11/19/05","Notre Dame","34","Away","Syracuse","10",
"09/24/05","Notre Dame","36","Home","Washington","17",
"11/26/05","Notre Dame","38","Home","Stanford","31",
"11/05/05","Notre Dame","41","Away","Tennessee","21",
"11/12/05","Notre Dame","42","Away","Navy","21",
"09/03/05","Notre Dame","42","Home","Pittsburgh","21",
"10/22/05","Notre Dame","49","Away","BYU","23",
"10/1/05","Notre Dame","49","Home","Purdue","28",
"11/19/05","Ohio St.","25","Home","Michigan","21",
"09/17/05","Ohio St.","27","Away","San Diego St.","6",
"09/24/05","Ohio St.","31","Away","Iowa","6",
"09/03/05","Ohio St.","34","Away","Miami (OH)","14",
"01/02/06","Ohio St.","34","Away","Notre Dame","20",Fiesta Bowl (Tempe AZ)
"10/15/05","Ohio St.","35","Away","Michigan St.","24",
"11/05/05","Ohio St.","40","Away","Illinois","2",
"10/22/05","Ohio St.","41","Home","Indiana","10",
"10/29/05","Ohio St.","45","Home","Minnesota","31",
"11/12/05","Ohio St.","48","Away","Northwestern","7",
"09/09/05","Ohio","16","Away","Pittsburgh","10",
"10/29/05","Ohio","34","Home","Buffalo","20",
"09/24/05","Ohio","35","Away","Kent St.","32",
"10/22/05","Ohio","38","Away","Ball St.","21",
